cartodb_id,the_geom,site_id,name,street,plaque_location,type,town,prov,reason_for_designation,latitude_wgs84,longitude_wgs84,cartodb_georef_status
56,0101000020E6100000A2D11DC4CE3A5DC07715527E52F54840,60,S.S. Moyie,<Null>,<Null>,Historic Sites,Kaslo,British Columbia,Restored riverboat launched in 1898,49.911715,-116.902273,true
372,0101000020E6100000E88711C2A3E552C02BDEC83CF2534640,426,Homewood,north side of Highway 2,<Null>,Historic Sites,Maitland,Ontario,Fine 1800 fieldstone Palladian residence,44.65583,-75.58812,
373,0101000020E6100000F46E2C280CE752C0758F6CAE9A514640,427,Pointe au Baril,20m on north side of Highway 2 (between 1284 and 1286),on metal fence surrounding stone cairn,Historic Sites,Maitland,Ontario,"Last two French warships on Lake Ontario built on site; 'Iroquoise' and 'Outaouaise'",44.637533,-75.610117,
525,0101000020E6100000015130630A9852C0F31B261AA4C84640,608,Carillon Canal,210 du Barrage Street,<Null>,Historic Sites,Carillon,Quebec,"Two earlier canals, 1826-33",45.567508,-74.375634,false
588,0101000020E61000008E23D6E2533852C0211FF46C560D4740,676,Fort Crevier,<Null>,226 Island Road / Main Street,Historic Sites,Notre-Dame-de-Pierreville,Quebec,1687 French wooden fort,46.104052,-72.878679,true
949,0101000020E610000029ED0DBE30C354C0FB3F87F9F20E4540,2341,Amherstburg First Baptist Church,232 George St,,Historic Sites,Amherstburg,Ontario,,42.10273,-83.10559,true
1023,0101000020E610000066666666666652C00000000000C04640,2415,Capitulation of Montréal,<Null>,<Null>,Historic Events,,Quebec,Surrender of Montréal in 1760,45.5,-73.6,
1068,0101000020E61000006B9C4D4700DA53C0925ED4EE57DF4540,2460,Cunningham v. Tomey Homma,<Null>,<Null>,Historic Events,,British Columbia,Provided pre-Charter human rights activists with a compelling illustration of the need for measures that would protect the civil and human rights of individual Canadians,43.744871,-79.406267,
1311,0101000020E6100000A2630795B84858C0A643A7E7DDE84840,2703,Prairie Settlement Patterns,330 River Road,Riel House NHSC,Historic Events,,Manitoba,Settlement pattern based on Quebec river lot shape,49.819272,-97.136266,
1312,0101000020E61000005280289831DB59C0724F57772C5C4940,2704,Prairie Settlement Patterns,<Null>,Motherwell Homestead National Historic Site,Historic Events,,Saskatchewan,Tree planting to arrest soil drifting and conserve moisture,50.720107,-103.424902,
1313,0101000020E6100000F2E9B12D03875AC00917F2086E604A40,2705,Prairie Settlement Patterns,<Null>,Batoche National Historic Site,Historic Events,,Saskatchewan,Settlement pattern based on Quebec river lot shape,52.753358,-106.109569,
1687,0101000020E61000000F0D8B51D7AF53C07715527E52BD4940,3079,"Hudson, Henry",<Null>,<Null>,Historic Persons,Fort Rupert,Quebec,"Arctic explorer, discovered Hudson Bay, James Bay",51.47908,-78.747517,
130,0101000020E61000000CCD751A694958C08C4AEA0434F14840,145,Metropolitan Theatre,291 Donald Street,<Null>,Historic Sites,Winnipeg,Manitoba,"First movie ""palace"" in Canada, 1919",49.892854,-97.142638,true
423,0101000020E6100000F437A110019355C00C59DDEA394D4840,496,Pic River Site,<Null>,<Null>,Historic Sites,Pic River,Ontario,Complex of pre-contact Woodland culture sites,48.605769,-86.307254,true
1950,0101000020E6100000DFC2BAF1EEAE4EC09A99999999994640,3342,"Savalette, Captain",<Null>,between Charlo Cove and Coke Harbour,Historic Persons,TorBay,Nova Scotia,"Pioneer of ""sedentary"" fisheries of Acadia (1565-1610)",45.2,-61.366667,
627,0101000020E6100000B35E0CE5444752C03ED00A0C59054740,725,Governors' Cottage,90 Chemin de Patriotes,<Null>,Historic Sites,Sorel,Quebec,"Summer residence of governors and senior officials, 1781",46.032956,-73.116285,true
275,0101000020E6100000978BF84ECC5A4FC07B14AE47E1D64640,313,Pictou Railway Station (Intercolonial),71 Front Street,On wall of building next to main door - Northumberland Fisheries Museum,Historic Sites,Pictou,Nova Scotia,"Eclectic Intercolonial railway station; 1904",45.675829,-62.706013,true
274,0101000020E6100000978BF84ECC5A4FC07B14AE47E1D64640,312,Pictou Academy,corner of Church and Willow Streets,beside the Pictou Fire Department,Historic Sites,Pictou,Nova Scotia,"First Pictou Academy, 1818-1932",45.676988,-62.715493,true
883,0101000020E6100000B79C4B71556D61C00D37E0F3C3025040,2076,Former Territorial Court House,Corner of Front and Turner Streets,<Null>,Historic Sites,Dawson,Yukon Territory,"Substantial frame judicial building, 1900-01",64.056309,-139.440577,true
